roundid,hnum,shotid,stroke,startpos,shotcategory,holedis,proximity,startpos_name,lastshot,penalty,recovery,shotdisbucket,golfername,fairwayhit,scrsg,course,date
48880,1,2741841,1,0,Drive,341,-,TEE,0,0,0,Drive,Graham Fletcher,0,-2.000,Belfry PGA N,2019-06-02
48880,1,2741842,2,0,Drive,0,-,TEE,0,2,0,-,Graham Fletcher,0,0.000,Belfry PGA N,2019-06-02
48880,1,2741843,3,0,Drive,341,423,TEE,0,0,0,Drive,Graham Fletcher,1,-0.007,Belfry PGA N,2019-06-02
48880,1,2741844,4,1,Approach,141,99,FAIRWAY,0,0,0,125 - 150,Graham Fletcher,0,-0.493,Belfry PGA N,2019-06-02
48880,1,2741845,5,1,Short Game,33,21,FAIRWAY,0,0,0,30 - 40,Graham Fletcher,0,-0.309,Belfry PGA N,2019-06-02
48880,1,2741846,6,4,Putting,21,1,GREEN,0,0,0,18 - 21,Graham Fletcher,0,-0.071,Belfry PGA N,2019-06-02
48880,1,2741847,7,4,Putting,1,-,GREEN,1,0,0,0 - 2,Graham Fletcher,0,0.005,Belfry PGA N,2019-06-02
48880,2,2741848,1,0,Drive,487,798,TEE,0,0,0,Drive,Graham Fletcher,0,-0.197,Belfry PGA N,2019-06-02
48880,2,2741849,2,2,Approach,266,105,ROUGH,0,0,0,250+,Graham Fletcher,0,0.423,Belfry PGA N,2019-06-02
48880,2,2741850,3,1,Short Game,35,2,FAIRWAY,0,0,0,30 - 40,Graham Fletcher,0,0.626,Belfry PGA N,2019-06-02
48880,2,2741851,4,4,Putting,2,-,GREEN,1,0,0,0 - 2,Graham Fletcher,0,0.024,Belfry PGA N,2019-06-02
48880,3,2741852,1,0,Approach,157,17,TEE,0,0,0,150 - 175,Graham Fletcher,0,0.270,Belfry PGA N,2019-06-02
48880,3,2741853,2,4,Putting,17,1,GREEN,0,0,0,15 - 18,Graham Fletcher,0,-0.129,Belfry PGA N,2019-06-02
48880,3,2741854,3,4,Putting,1,-,GREEN,1,0,0,0 - 2,Graham Fletcher,0,0.005,Belfry PGA N,2019-06-02
48880,4,2741855,1,0,Drive,360,-,TEE,0,0,0,Drive,Graham Fletcher,0,-2.000,Belfry PGA N,2019-06-02
48880,4,2741856,2,0,Drive,0,-,TEE,0,2,0,-,Graham Fletcher,0,0.000,Belfry PGA N,2019-06-02
48880,4,2741857,3,0,Drive,360,495,TEE,0,0,0,Drive,Graham Fletcher,1,-0.075,Belfry PGA N,2019-06-02
48880,4,2741858,4,1,Approach,165,54,FAIRWAY,0,0,0,150 - 175,Graham Fletcher,0,-0.476,Belfry PGA N,2019-06-02
